duration,Q_RelevantIDFraudScore,gender,nationality,ethnicity,age,preferred_game_name,gaming_time,gaming_related_activities_time,online_gaming_time,offline_gaming_time,playing_esports,rank,team_membership,playing_with_offline_friends,MOGQ_social1,MOGQ_social2,MOGQ_social3,MOGQ_social4,MOGQ_escape1,MOGQ_escape2,MOGQ_escape3,MOGQ_escape4,MOGQ_competition1,MOGQ_competition2,MOGQ_competition3,MOGQ_competition4,MOGQ_coping1,MOGQ_coping2,MOGQ_coping3,MOGQ_coping4,IGCQ_1,IGCQ_2,IGCQ_3,IGCQ_4,attention_check_1,IGDS9SF_1,IGDS9SF_2,IGDS9SF_3,IGDS9SF_4,IGDS9SF_5,IGDS9SF_6,IGDS9SF_7,IGDS9SF_8,IGDS9SF_9,GDT_1,GDT_2,GDT_3,GDT_4,IGD_alternative_criterion2,IGD_alternative_criterion5,IGD_alternative_criterion6,IGD_alternative_criterion3,IGD_alternative_craving,IGD_alternative_health,BFRS_1,BFRS_2,BFRS_3,BFRS_4,BFRS_5,BFRS_6,BFRS_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,attention_check_2,neuroticism_1,neuroticism_2,neuroticism_3,neuroticism_4,neuroticism_5,neuroticism_6,neuroticism_7,neuroticism_8,neuroticism_9,neuroticism_10,DJGLS_1,DJGLS_2,DJGLS_3,DJGLS_4,DJGLS_5,DJGLS_6,harm_avoidance_1,harm_avoidance_2,harm_avoidance_3,harm_avoidance_4,harm_avoidance_5,harm_avoidance_6,harm_avoidance_7,harm_avoidance_8,harm_avoidance_9,harm_avoidance_10,BAS_reward_1,BAS_reward_2,BAS_reward_3,BAS_reward_4,BAS_reward_5,
591,0,Male,Italian,White,27,RPG,4,6,20,80,Yes,Platinum,No,Very often,,Almost never/never,,Some of time,Half of the time,Almost never/never,,,Most of the time,,,Some of time,Some of time,Most of the time,,,No agreement,No agreement,No agreement,No agreement,Often,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,A lot,,,Somewhat,A lot,Somewhat,,4,2,,3,1 Not at all,,,3,3,,4,,,Moderately Inaccurate,,Very Inaccurate,,Very Inaccurate,,Moderately Accurate,Moderately Accurate,,Moderately Accurate,,Disagree,,,Agree,Agree,,,Moderately Accurate,Very Accurate,,Very Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,,,,,Very true for me,,Very true for me,Very true for me,
849,0,Male,Hungarian,White,26, (League of Legends) MOBA,6,3,80,20,Yes,Platinum,No,Sometimes,,,Half of the time,Almost always/always,Half of the time,Almost never/never,,,Almost always/always,,,Half of the time,,Most of the time,,Some of time,Agree,No agreement,No agreement,Strongly Agree,Often,Very often,Rarely,Never,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Very often,Often,Sometimes,Often,Rarely,Somewhat,Not at all,,,Somewhat,Somewhat,,4,5       Very much,5       Very much,,5       Very much,5       Very much,,4,,,,5       Very much,,Moderately Inaccurate,Moderately Inaccurate,,,Moderately Inaccurate,,Moderately Accurate,Moderately Accurate,,,Neither Accurate Nor Inaccurate,,,Strongly agree,Strongly agree,Neither agree nor disagree,,Very Inaccurate,,Neither Accurate Nor Inaccurate,,Very Inaccurate,Moderately Accurate,Very Inaccurate,,,,,Very true for me,Somewhat true for me,Very true for me,,
554,0,Male,Mexican,Latino,24,First person shooter,3,1,90,10,Yes,Elite,Yes,Sometimes,,,Some of time,Almost never/never,Some of time,,,Almost never/never,Almost always/always,,Some of time,,,Some of time,,Some of time,No agreement,No agreement,No agreement,Agree,Often,Never,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Sometimes,Rarely,A lot,Somewhat,A lot,,A lot,,,3,4,4,4,1 Not at all,,,3,,,3,,,Moderately Inaccurate,Very Inaccurate,,,Very Inaccurate,Moderately Inaccurate,Very Accurate,,Neither Accurate Nor Inaccurate,,,,Agree,,Agree,Neither agree nor disagree,,,,Very Accurate,Very Inaccurate,,,Very Inaccurate,Very Inaccurate,Very Inaccurate,,Very true for me,Very true for me,,,Somewhat true for me,
346,0,Male,Polish,"White, Caucasian",22,"CS:GO, Escape from Tarkov; mainly FPS",4,6,85,15,Yes,The Global Elite,No,Very often,,Half of the time,,Some of time,Half of the time,,,Half of the time,Most of the time,Most of the time,,,Most of the time,Most of the time,,,Agree,Agree,No agreement,Agree,Often,Rarely,Rarely,Never,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Never,Often,Rarely,Somewhat,,Not at all,,Not at all,Somewhat,,2,,4,2,3,,,3,,3,2,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,,Moderately Accurate,,,Neither Accurate Nor Inaccurate,,,Neither agree nor disagree,Disagree,Disagree,,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Moderately Accurate,,,,Moderately Inaccurate,Very true for me,Very true for me,Somewhat true for me,,,
1014,0,Male,Poland,White ,22,FPS,2,3,25,75,Yes,Gold,No,Very often,Almost never/never,,,Some of time,Almost never/never,Almost never/never,,,Some of time,Some of time,,,,Almost never/never,Almost never/never,,No agreement,No agreement,No agreement,No agreement,Often,Often,Rarely,Never,Never,Rarely,Often,Never,Rarely,Never,Often,Very often,Often,Rarely,Rarely,Never,Never,Rarely,Rarely,Very often,A lot,Not at all,Not at all,,,Somewhat,,2,5       Very much,,,,3,,2,5       Very much,4,,4,,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,,,,,,,,Strongly disagree,Strongly agree,Disagree,,Moderately Accurate,Very Accurate,,,Moderately Accurate,Moderately Accurate,Neither Accurate Nor Inaccurate,,,Very true for me,Very true for me,,,Very true for me,
767,0,Male,Italian,white-caucasian,19,car game,5,2,40,60,Yes,Gold,No,Very often,Almost never/never,,,Most of the time,Most of the time,,Almost always/always,,Half of the time,,Most of the time,,,Almost always/always,,Almost always/always,No agreement,Agree,No agreement,Agree,Often,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Often,Never,Sometimes,Rarely,Very often,Rarely,Often,Rarely,Often,Rarely,Very often,Often,Somewhat,Not at all,Somewhat,,Somewhat,,,1 Not at all,,,,4,5       Very much,,2,,5       Very much,,4,5       Very much,Moderately Inaccurate,,,Very Inaccurate,Very Inaccurate,,Moderately Inaccurate,,Very Accurate,Neither Accurate Nor Inaccurate,,,Strongly agree,Neither agree nor disagree,Strongly agree,,,Very Inaccurate,,Moderately Accurate,,,Very Accurate,Very Accurate,,,Very Accurate,Very true for me,Very true for me,,Very true for me,,
433,0,Male,italian,white,19,call of duty,4,2,98,2,Yes,,No,Often,,,Some of time,Some of time,Half of the time,,,Most of the time,Half of the time,,Half of the time,,,Almost always/always,Almost never/never,,No agreement,No agreement,Agree,Agree,Often,Rarely,Often,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Often,Rarely,A lot,,,A lot,,A lot,Somewhat,3,,,,,,5       Very much,3,2,,3,4,5       Very much,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,Moderately Accurate,Very Inaccurate,Neither Accurate Nor Inaccurate,,,,Neither Accurate Nor Inaccurate,,,,Agree,Neither agree nor disagree,Disagree,,Moderately Inaccurate,Moderately Accurate,,Very Inaccurate,,,,Moderately Inaccurate,Moderately Inaccurate,,Somewhat true for me,,Very true for me,Very true for me,
418,0,Male,italian,white,23,League of Legends,3,8,66,34,Yes,Bronze 2,No,Very often,Some of time,,,Most of the time,Some of time,Almost never/never,,,Half of the time,,,Most of the time,,Almost always/always,,Most of the time,Agree,Agree,No agreement,Agree,Often,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Somewhat,,,,A lot,Somewhat,Not at all,2,,4,,4,,4,3,,5       Very much,4,,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,Very Inaccurate,,,,Strongly agree,,,Disagree,Agree,,,,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,,Very Inaccurate,Moderately Inaccurate,,,,Somewhat true for me,Very true for me,,Very true for me,
542,0,Male,Portuguese,White ,22,Minecraft,7,2,80,20,Yes,Master Guardian,No,Very often,,,Most of the time,Most of the time,Most of the time,Some of time,,,Most of the time,,,Half of the time,,Almost always/always,,Almost always/always,No agreement,Strongly Agree,No agreement,Agree,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Never,Often,Often,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Often,Rarely,Somewhat,Not at all,,Somewhat,,A lot,,2,2,,,,4,4,3,4,,,2,,Moderately Inaccurate,,,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,,,,Moderately Accurate,,,Agree,Agree,,Disagree,Very Inaccurate,,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,,,,Somewhat true for me,Somewhat true for me,Somewhat false for me,,,
550,0,Male,Polish,White,21,"League of legends, CS:GO/ MOBA, shooters,MMORPG",6,2,90,10,Yes,"Master 160lp league of legends, LEM CS:GO",Yes,Very often,,Almost always/always,,Almost always/always,Almost always/always,,Almost always/always,,Almost always/always,,,Almost always/always,,Most of the time,,Most of the time,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Often,Often,Very often,Rarely,Rarely,Sometimes,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Often,Very often,Often,Sometimes,Sometimes,Rarely,Sometimes,Not at all,,Somewhat,,Somewhat,,Somewhat,3,,2,5       Very much,,,5       Very much,3,5       Very much,,,,5       Very much,Moderately Inaccurate,Very Accurate,,Neither Accurate Nor Inaccurate,Very Accurate,,Neither Accurate Nor Inaccurate,,Very Inaccurate,,,Agree,,,Strongly agree,,Strongly agree,,Very Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,,Neither Accurate Nor Inaccurate,Very true for me,Very true for me,,,Very true for me,
480,0,Female,czech,european,19,Minecraft,3,3,75,25,Yes,none,Yes,Sometimes,Some of time,,,Some of time,Most of the time,,Half of the time,,Half of the time,,,Half of the time,Most of the time,Most of the time,,,Agree,No agreement,No agreement,No agreement,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Never,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Somewhat,A lot,,,Somewhat,,Somewhat,3,,,3,,3,,2,3,,,4,3,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,,,Agree,,Agree,,Disagree,,,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Moderately Accurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,Very true for me,Somewhat true for me,Very true for me,,,
752,0,Male,Poland,Poland,20,League of Legends - MOBA,4,1,90,10,Yes,Diamond ,No,Very often,,Some of time,,Half of the time,Some of time,,Some of time,,Most of the time,,,Most of the time,Most of the time,Most of the time,,,No agreement,No agreement,No agreement,Agree,Often,Sometimes,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Often,Somewhat,,,Not at all,Somewhat,Somewhat,,3,,,,4,5       Very much,5       Very much,2,4,,,,4,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Very Inaccurate,Very Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,,,,Disagree,Disagree,,Agree,Very Inaccurate,,Moderately Accurate,,Neither Accurate Nor Inaccurate,Moderately Accurate,,,Neither Accurate Nor Inaccurate,,,Very true for me,,Very true for me,Very true for me,
1029,0,Male,Portuguwaw,Caucasian,24,Shooters,2,7,90,10,Yes,Gold,Yes,Very often,Some of time,,,Half of the time,Most of the time,,Most of the time,,Some of time,,,Almost never/never,Most of the time,Some of time,,,No agreement,No agreement,No agreement,Agree,Often,Rarely,Never,Rarely,Never,Sometimes,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Somewhat,Not at all,Somewhat,Not at all,,,,2,4,,2,3,,,2,,3,,,1 Not at all,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,,,Moderately Accurate,,,Agree,Agree,Neither agree nor disagree,,,,,Very Accurate,,Very Inaccurate,,,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Very true for me,Very true for me,Very true for me,,,
1604,0,Male,Mexican,Latino,24,frankRSC,10,14,100,0,Yes,Gold,No,Very often,,,Almost always/always,Almost always/always,Almost always/always,Almost always/always,,,Almost always/always,Almost always/always,,,,Almost always/always,,Almost always/always,Strongly Agree,No agreement,No agreement,Strongly Agree,Often,Very often,Never,Never,Never,Rarely,Never,Never,Very often,Never,Never,Never,Rarely,Never,Never,Sometimes,Very often,Never,Rarely,Sometimes,Somewhat,,,A lot,,A lot,A lot,5       Very much,5       Very much,,,,4,,5       Very much,3,,5       Very much,1 Not at all,,Moderately Inaccurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Very Accurate,,Very Accurate,,,,,,,,Strongly disagree,Strongly disagree,Agree,,,Very Accurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Very Accurate,,,Very Inaccurate,,Somewhat false for me,Somewhat false for me,Very false for me,,,
546,0,Male,Portuguese,White Caucasian,25,League of Legends,6,5,100,0,Yes,Diamond 3,No,Sometimes,,,Some of time,Some of time,Half of the time,Most of the time,,,Most of the time,,Almost always/always,,,Most of the time,Half of the time,,No agreement,No agreement,Agree,No agreement,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Often,Never,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Not at all,,,Not at all,Not at all,,Not at all,3,,5       Very much,5       Very much,4,3,,4,,,3,,,Moderately Inaccurate,,,Moderately Accurate,Very Accurate,,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,,,,,Agree,Agree,,Agree,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,,Moderately Accurate,Moderately Accurate,,Moderately Accurate,Somewhat true for me,Somewhat true for me,,Very true for me,,
2781,0,Male,Spanish,White,24,RPG,1,1,40,60,Yes,Gold or diamond,No,Very often,,,Almost always/always,Almost always/always,Almost always/always,,,Almost always/always,Most of the time,,Almost always/always,,,Almost always/always,,Almost always/always,No agreement,Strongly Agree,Agree,Strongly Agree,Often,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Often,Never,Never,Sometimes,Sometimes,Never,Never,Rarely,Never,Rarely,Rarely,Never,Somewhat,Not at all,A lot,,,Somewhat,,2,,4,4,4,,,2,4,,,4,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Accurate,Moderately Inaccurate,,,Moderately Accurate,Neither agree nor disagree,,,Agree,,Neither agree nor disagree,Moderately Inaccurate,,Very Accurate,,,,Moderately Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,,Very true for me,Very true for me,,Very true for me,
539,0,Male,Greek,Greek,22,battlefront,1,1,10,90,Yes,silver,No,Sometimes,,Almost never/never,,Some of time,Some of time,,,Half of the time,Half of the time,,Some of time,,,Most of the time,Most of the time,,No agreement,No agreement,No agreement,Agree,Often,Never,Rarely,Rarely,Rarely,Never,Rarely,Never,Often,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,A lot,A lot,Somewhat,Somewhat,,,,4,3,,3,2,3,,4,3,,,,,Moderately Accurate,Neither Accurate Nor Inaccurate,,,Moderately Accurate,,Moderately Accurate,,Moderately Accurate,Neither Accurate Nor Inaccurate,,Neither agree nor disagree,,Agree,Agree,,,,,Moderately Accurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,Moderately Accurate,Moderately Inaccurate,,,,,Very true for me,Somewhat true for me,,Somewhat true for me,
531,0,Male,Polish,White,20,Strategy,4,2,70,30,Yes,Grand Champion,No,Very often,Some of time,,,Some of time,Most of the time,Half of the time,,,Half of the time,,Some of time,,Most of the time,Most of the time,,,No agreement,No agreement,Strongly Agree,No agreement,Often,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Never,Never,Rarely,Rarely,Never,Somewhat,Somewhat,Somewhat,A lot,,,,3,,,,4,,,2,3,2,,2,1 Not at all,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,Very Inaccurate,Moderately Inaccurate,,Moderately Accurate,,,,Agree,,Strongly agree,,Disagree,,Moderately Inaccurate,Very Accurate,,,,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Somewhat true for me,,Somewhat true for me,Very true for me,
668,0,Male,Poland,European,20,"league of legends, rfactor, forza motorsport and horizon, cs go, mafia 2, minecraft",4,3,31,69,Yes,Gold 2 in LoL and Gold 3 in Cs:Go,No,Sometimes,,,Half of the time,Some of time,Almost always/always,,Almost always/always,,Almost never/never,,,Some of time,,Most of the time,,Most of the time,No agreement,No agreement,No agreement,Agree,Often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Often,Never,Often,Sometimes,Often,Rarely,Sometimes,Never,Sometimes,Often,Often,Often,Somewhat,Somewhat,,Somewhat,Somewhat,,,4,3,3,2,,4,,4,,,,,2,Moderately Inaccurate,,,,Moderately Accurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,Disagree,Neither agree nor disagree,,Agree,Very Accurate,,Moderately Accurate,,,Moderately Accurate,,,Moderately Inaccurate,Very Inaccurate,Somewhat true for me,Somewhat true for me,,Very true for me,,
1302,0,Male,spanish,caucasian,29,shooter,2,3,90,10,Yes,supreme master first,No,Very often,,Some of time,,Half of the time,Some of time,,Almost never/never,,Almost always/always,,,Almost always/always,,Some of time,,Half of the time,No agreement,No agreement,No agreement,Agree,Often,Sometimes,Often,Never,Often,Sometimes,Sometimes,Never,Sometimes,Rarely,Never,Sometimes,Often,Rarely,Never,Never,Often,Sometimes,Rarely,Sometimes,A lot,Not at all,Not at all,,,A lot,,5       Very much,5       Very much,,,,3,5       Very much,4,,3,,,4,Moderately Inaccurate,Moderately Accurate,Neither Accurate Nor Inaccurate,,Very Inaccurate,,Very Inaccurate,,,,Neither Accurate Nor Inaccurate,Neither agree nor disagree,,,Agree,Neither agree nor disagree,,Very Inaccurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Moderately Accurate,,,,,,Neither Accurate Nor Inaccurate,,Very true for me,Very true for me,,Somewhat true for me,
977,0,Male,Polish,Polish,18,FPS,4,2,80,20,Yes,Master Guardian II,No,Very often,,,Half of the time,Most of the time,Almost always/always,,Most of the time,,Almost always/always,,Most of the time,,Half of the time,Some of time,,,No agreement,No agreement,No agreement,Agree,Often,Never,Never,Never,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Rarely,Often,Somewhat,Not at all,Not at all,Not at all,,,,2,,,,2,,5       Very much,3,,4,3,4,,Moderately Inaccurate,,Moderately Accurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,Moderately Accurate,Moderately Inaccurate,,,Disagree,,,Strongly agree,Strongly disagree,,Very Inaccurate,,Very Accurate,,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,,,,,Somewhat true for me,Somewhat true for me,,Somewhat true for me,
512,0,Male,Portuguese,White,20,Adventure,6,1,88,12,Yes,Diamand ,Yes,Sometimes,,Half of the time,,Some of time,Most of the time,,Almost always/always,,Most of the time,Almost always/always,,,Half of the time,Almost never/never,,,Agree,No agreement,No agreement,No agreement,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Never,Often,Rarely,Never,Very often,Often,Sometimes,Very often,Sometimes,Rarely,Somewhat,,Somewhat,A lot,A lot,,,3,,2,3,4,,,3,,3,,,3,Moderately Inaccurate,Moderately Accurate,,Moderately Inaccurate,Moderately Accurate,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,,Agree,,,Strongly agree,Agree,,,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,,,Moderately Accurate,,,Moderately Accurate,,Somewhat true for me,Somewhat true for me,,Very true for me,
615,0,Male,mexican,"white, latin",26,moba,5,6,70,30,Yes,platinum,No,Very often,,,Most of the time,Most of the time,Almost always/always,,,Almost always/always,Half of the time,,,Some of time,,Half of the time,Almost never/never,,No agreement,Agree,No agreement,Agree,Often,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Somewhat,,Somewhat,Somewhat,,Somewhat,,4,,3,4,2,,,2,3,,,,2,Moderately Inaccurate,,,,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,,,Neither agree nor disagree,,Disagree,Neither agree nor disagree,,,Neither Accurate Nor Inaccurate,,Very Accurate,Very Inaccurate,,,,Moderately Inaccurate,Moderately Inaccurate,,,Somewhat true for me,Somewhat true for me,,Somewhat true for me,
609,0,Male,Polish,White,19,CS:GO,4,3,75,25,Yes,Global Elite,No,Very often,Some of time,,,Half of the time,Most of the time,Most of the time,,,Almost always/always,Almost always/always,,,,Half of the time,Half of the time,,Agree,Strongly Agree,Agree,Strongly Agree,Often,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Somewhat,,Not at all,,Somewhat,,Somewhat,3,,5       Very much,,4,,5       Very much,1 Not at all,3,,,3,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,,,Moderately Accurate,,Agree,,Agree,Agree,,,Moderately Accurate,,Moderately Accurate,Moderately Accurate,,,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,Very true for me,Very true for me,Very true for me,,
659,0,Female,MEXICANA,NO NE,35,FIFA,4,3,62,38,Yes,MASTER,No,Sometimes,Some of time,,,Some of time,Some of time,Some of time,,,Some of time,,,Some of time,,Some of time,Some of time,,Agree,Strongly Agree,Agree,Agree,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,Often,Somewhat,,Not at all,,Somewhat,Somewhat,,4,5       Very much,,,4,,4,4,,5       Very much,4,,,Very Accurate,Neither Accurate Nor Inaccurate,Very Inaccurate,,Moderately Accurate,,Moderately Accurate,Moderately Accurate,,,,Agree,,Strongly agree,Agree,,,,,Moderately Accurate,,,Very Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Accurate,Moderately Accurate,,Somewhat true for me,Very true for me,,Somewhat true for me,
1157,0,Male,Italy,White/Caucasian,24,Action RPGs,2,2,20,80,Yes,Platinum,No,Sometimes,,,Some of time,Almost always/always,Some of time,,Most of the time,,Some of time,,,Almost never/never,,Most of the time,,Half of the time,Agree,No agreement,Agree,No agreement,Often,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Very often,Rarely,Sometimes,Sometimes,Very often,Rarely,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Not at all,,,,Not at all,Not at all,Not at all,3,4,,,,,5       Very much,3,5       Very much,4,,4,,Moderately Inaccurate,,,,Very Accurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,Neither Accurate Nor Inaccurate,,,,Strongly disagree,Strongly disagree,Agree,,,,Very Accurate,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,Moderately Accurate,,,Very true for me,Somewhat true for me,,Somewhat true for me,
1196,0,Male,Portuguese,Caucasian,23,Roleplay and mmo,8,3,50,50,Yes,Gold,Yes,Very often,,,Half of the time,Most of the time,Most of the time,,,Almost never/never,Almost never/never,,,Almost never/never,,Most of the time,,Most of the time,No agreement,Agree,No agreement,Agree,Often,Sometimes,Never,Often,Never,Never,Never,Never,Often,Never,Rarely,Sometimes,Never,Never,Rarely,Never,Often,Often,Sometimes,Sometimes,A lot,Somewhat,,A lot,,,A lot,3,4,,1 Not at all,,,,4,3,3,2,,,Moderately Inaccurate,Moderately Accurate,,,Moderately Accurate,Moderately Accurate,Very Accurate,,,Moderately Inaccurate,,,Disagree,Disagree,Agree,,,Very Accurate,,Very Accurate,Moderately Inaccurate,Very Inaccurate,,,,Neither Accurate Nor Inaccurate,,Very true for me,Very true for me,,,Very true for me,
405,0,Male,American,Filipino,23,Apex Legends,4,10,90,10,Yes,Diamond,No,Rarely,,Some of time,,Most of the time,Most of the time,Most of the time,,,Most of the time,Half of the time,,,Almost always/always,Almost always/always,,,Agree,No agreement,No agreement,Agree,Often,Sometimes,Never,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Rarely,A lot,Somewhat,,A lot,,A lot,,3,2,2,2,,,,3,,,4,3,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Moderately Accurate,,Neither Accurate Nor Inaccurate,Neither agree nor disagree,,,Agree,,Neither agree nor disagree,Very Inaccurate,,Moderately Accurate,Moderately Accurate,,Moderately Accurate,,,,Moderately Inaccurate,,Very true for me,Somewhat true for me,,Very true for me,
444,0,Male,Poland,white,23,Rocket League,10,2,100,0,Yes,Platinum 3,No,Very often,Almost always/always,,,Most of the time,Half of the time,,,Almost always/always,Almost always/always,,,Almost always/always,,Most of the time,Half of the time,,No agreement,Agree,Agree,No agreement,Often,Never,Often,Sometimes,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Never,Somewhat,,Somewhat,,,A lot,A lot,3,2,,,,5       Very much,,2,3,,,4,3,Moderately Inaccurate,Very Inaccurate,,,Very Inaccurate,,Very Accurate,Very Inaccurate,Very Accurate,,,,,,Strongly disagree,Agree,Neither agree nor disagree,,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Very Inaccurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Somewhat false for me,Somewhat true for me,Very true for me,,,
