duration,Q_RelevantIDFraudScore,gender,nationality,ethnicity,age,gaming_time,gaming_related_activities_time,online_gaming_time,offline_gaming_time,playing_esports,preferred_game_name,preffered_esports_game_name,rank,team_membership,playing_with_offline_friends,MOGQ_social1,MOGQ_social2,MOGQ_social3,MOGQ_social4,MOGQ_escape1,MOGQ_escape2,MOGQ_escape3,MOGQ_escape4,MOGQ_competition1,MOGQ_competition2,MOGQ_competition3,MOGQ_competition4,MOGQ_coping1,MOGQ_coping2,MOGQ_coping3,MOGQ_coping4,IGCQ_1,IGCQ_2,IGCQ_3,IGCQ_4,attention_check_1,IGDS9SF_1,IGDS9SF_2,IGDS9SF_3,IGDS9SF_4,IGDS9SF_5,IGDS9SF_6,IGDS9SF_7,IGDS9SF_8,IGDS9SF_9,GDT_1,GDT_2,GDT_3,GDT_4,IGD_alternative_criterion2,IGD_alternative_criterion5,IGD_alternative_criterion6,IGD_alternative_criterion3,IGD_alternative_craving,IGD_alternative_health,BFRS_1,BFRS_2,BFRS_3,BFRS_4,BFRS_5,BFRS_6,BFRS_7,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,attention_check_2,neuroticism_1,neuroticism_2,neuroticism_3,neuroticism_4,neuroticism_5,neuroticism_6,neuroticism_7,neuroticism_8,neuroticism_9,neuroticism_10,DJGLS_1,DJGLS_2,DJGLS_3,DJGLS_4,DJGLS_5,DJGLS_6,harm_avoidance_1,harm_avoidance_2,harm_avoidance_3,harm_avoidance_4,harm_avoidance_5,harm_avoidance_6,harm_avoidance_7,harm_avoidance_8,harm_avoidance_9,harm_avoidance_10,BAS_reward_1,BAS_reward_2,BAS_reward_3,BAS_reward_4,BAS_reward_5,
631,0,Male,Portuguese,White,20,9,12,60,40,No,RPG,,,No,Never,Almost never/never,,,Most of the time,Some of time,,,Almost never/never,Most of the time,,,Most of the time,Half of the time,Some of time,,,Agree,No agreement,Agree,No agreement,Often,Often,Never,Never,Rarely,Sometimes,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Never,Rarely,Rarely,Never,Rarely,Sometimes,Sometimes,A lot,,A lot,Somewhat,,,A lot,1 Not at all,,4,,4,,,1 Not at all,3,,,4,3,Moderately Inaccurate,,,Very Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,Moderately Accurate,,Moderately Accurate,,,,Strongly agree,Neither agree nor disagree,Agree,,,,,Very Accurate,Very Inaccurate,,,Very Inaccurate,Moderately Accurate,Moderately Accurate,,,Somewhat true for me,Somewhat false for me,Very true for me,,
499,0,Male,portuguese,caucasian,29,3,4,90,10,No,counter strike,,,No,Often,Half of the time,,,Most of the time,Almost always/always,Almost always/always,,,Most of the time,Most of the time,,,Most of the time,Half of the time,,,No agreement,Agree,Agree,Agree,Often,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Sometimes,Never,Rarely,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,A lot,Somewhat,A lot,,,,A lot,3,,3,3,1 Not at all,5       Very much,,4,,,,1 Not at all,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,,,Moderately Accurate,Disagree,Strongly agree,,Agree,,,,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Very Inaccurate,,,,,Very Inaccurate,,Somewhat true for me,Somewhat true for me,Somewhat true for me,,
366,0,Female,polish,white,21,10,2,88,12,No,league of legends,,,No,Often,,Half of the time,,Some of time,Almost always/always,Half of the time,,,Almost always/always,,Almost always/always,,,Half of the time,,Some of time,Agree,Agree,Agree,Agree,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Rarely,Often,Rarely,Often,Often,Often,Often,Very often,Sometimes,Often,Sometimes,Very often,Very often,Not at all,Not at all,,Somewhat,A lot,,,3,5       Very much,,4,4,,,3,,5       Very much,4,,,Moderately Inaccurate,,Very Accurate,,Very Accurate,Moderately Accurate,Very Inaccurate,,Moderately Inaccurate,,,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,Moderately Accurate,,Moderately Inaccurate,,,Very true for me,Very true for me,,,Very true for me,
478,0,Male,Poland,Polish,25,7,4,70,30,Yes,,CSGO ,Supreme Master First Class,No,Very often,,,Some of time,Almost never/never,Most of the time,Some of time,,,Most of the time,Most of the time,,,,Some of time,,Half of the time,No agreement,Agree,No agreement,Agree,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,A lot,,,Somewhat,Not at all,Not at all,,3,,3,4,,,3,4,,,4,2,,Moderately Inaccurate,Very Inaccurate,,,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Neither agree nor disagree,,Agree,Disagree,,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,,Moderately Inaccurate,,Somewhat false for me,,Somewhat true for me,Somewhat false for me,
719,0,Male,Polish,Polish,20,3,5,60,40,No,League of Legends,,,No,Very often,Half of the time,,,Half of the time,Some of time,Some of time,,,Most of the time,Most of the time,,,,Almost never/never,,Some of time,No agreement,Agree,No agreement,Agree,Often,Often,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Rarely,Sometimes,Sometimes,A lot,,Somewhat,Somewhat,,Somewhat,,2,4,,,4,3,,2,5       Very much,,2,,,Moderately Inaccurate,,,Moderately Accurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,,,,,,Agree,Disagree,Neither agree nor disagree,,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,,Moderately Accurate,Neither Accurate Nor Inaccurate,,,,Somewhat true for me,Very true for me,Very true for me,,,
599,0,Male,American/Portuguese,Causacian,20,3,5,40,60,No,Game: Sid Meier's Civilization V, Genre: RogueLike.,,,No,Sometimes,,,Half of the time,Most of the time,Some of time,,,Some of time,Almost never/never,,,Almost never/never,,Almost always/always,Some of time,,No agreement,No agreement,Agree,No agreement,Often,Rarely,Never,Never,Rarely,Rarely,Never,Sometimes,Often,Never,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Sometimes,Somewhat,Not at all,Somewhat,,,,Somewhat,2,4,5       Very much,,,,4,2,,2,,3,,Moderately Inaccurate,Very Accurate,,,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,Moderately Inaccurate,,Agree,,Agree,Strongly agree,,,,,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,,,Moderately Inaccurate,,Very Inaccurate,Somewhat true for me,Somewhat true for me,Very true for me,,
405,0,Male,Portugal,Caucasian,26,16,20,95,5,No,MMORPG,,,No,Sometimes,Almost never/never,,,Almost always/always,Almost always/always,,,Almost always/always,Almost always/always,,,Half of the time,,Almost always/always,Almost never/never,,Strongly Agree,Strongly Agree,Strongly Agree,No agreement,Often,Rarely,Sometimes,Very often,Never,Often,Rarely,Never,Very often,Sometimes,Sometimes,Very often,Very often,Rarely,Sometimes,Very often,Rarely,Very often,Very often,Sometimes,A lot,Not at all,A lot,,,A lot,,2,4,,,,,,1 Not at all,3,5       Very much,5       Very much,,3,Moderately Accurate,,,Moderately Accurate,Very Accurate,,Moderately Accurate,Neither Accurate Nor Inaccurate,,Very Inaccurate,,,,Disagree,Strongly agree,Disagree,,Very Accurate,,Very Accurate,Neither Accurate Nor Inaccurate,,Moderately Accurate,,Moderately Accurate,,,,Very true for me,,Very true for me,Somewhat true for me,
673,0,Male,Poland,Polish,20,3,3,80,20,Yes,,Fortnite,Fortnite has no ranks,No,Very often,Some of time,,,Almost always/always,Almost always/always,,Almost always/always,,Most of the time,,,Most of the time,Half of the time,Almost always/always,,,Agree,Agree,Strongly Agree,Agree,Often,Often,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Very often,Never,Never,Never,Rarely,Never,Never,Rarely,Often,Never,Sometimes,Rarely,Not at all,,,Not at all,Not at all,,Not at all,3,1 Not at all,,5       Very much,,3,4,2,,,3,,,Moderately Inaccurate,,,,Very Accurate,,Very Inaccurate,Moderately Accurate,,Very Inaccurate,Neither Accurate Nor Inaccurate,,Neither agree nor disagree,,Agree,Strongly agree,,,,Moderately Accurate,,,,Neither Accurate Nor Inaccurate,Moderately Accurate,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Very true for me,,Somewhat true for me,Very true for me,
453,0,Female,Indonesian,Asian,22,3,3,95,5,No,"Apex Legends, Overwatch, First Person Shooter, Adventure and puzzle games",,,No,Often,,,Some of time,Most of the time,Most of the time,,Most of the time,,Some of time,,,Some of time,,Most of the time,,Some of time,No agreement,No agreement,No agreement,Agree,Often,Sometimes,Rarely,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Often,Often,Somewhat,,Somewhat,,,A lot,Somewhat,2,4,4,,,3,4,2,,,,,2,Moderately Inaccurate,,,Moderately Accurate,Moderately Accurate,,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,,,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,,,,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,Very true for me,,Very true for me,Very true for me,
583,25,Male,Polish,white,21,8,10,95,5,No,Rust,,,No,Very often,,Almost always/always,,Half of the time,Some of time,,Almost never/never,,Almost always/always,,,Most of the time,,Almost always/always,,Almost always/always,No agreement,No agreement,No agreement,Agree,Often,Often,Never,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Never,Very often,Very often,Very often,Rarely,Never,Never,Never,Rarely,Often,Sometimes,A lot,Somewhat,A lot,,,,A lot,1 Not at all,1 Not at all,,5       Very much,,1 Not at all,,4,,1 Not at all,5       Very much,,,Moderately Inaccurate,Very Inaccurate,,,Very Inaccurate,Very Inaccurate,Neither Accurate Nor Inaccurate,Very Accurate,,,,Disagree,,,Neither agree nor disagree,,Neither agree nor disagree,Neither Accurate Nor Inaccurate,Very Inaccurate,Very Inaccurate,Very Accurate,,Very Inaccurate,,,,,Very true for me,Very true for me,,Very true for me,,
535,0,Male,Italian,Lattin,21,3,7,35,65,No,Sandbox,,,No,Rarely,Some of time,,,Half of the time,Most of the time,,Some of time,,Half of the time,Most of the time,,,,Most of the time,Almost never/never,,No agreement,Agree,No agreement,Agree,Often,Rarely,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Rarely,Rarely,Somewhat,Somewhat,,,Somewhat,,Somewhat,5       Very much,2,3,4,3,4,,4,,,,,,Moderately Inaccurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,,Agree,,Agree,,Neither agree nor disagree,,Moderately Accurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Moderately Accurate,,,Moderately Inaccurate,Very true for me,Somewhat true for me,Somewhat true for me,,,
548,0,Male,Greek,Greek,58,2,1,40,60,Yes,,PES,Gold,No,Never,,,Some of time,Some of time,Most of the time,,Half of the time,,Most of the time,,Almost always/always,,Half of the time,Most of the time,,,No agreement,Agree,No agreement,Agree,Often,Sometimes,Sometimes,Often,Rarely,Rarely,Often,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,A lot,,A lot,,A lot,,A lot,3,2,,,2,,4,2,2,,,3,,Moderately Inaccurate,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Moderately Accurate,,Moderately Inaccurate,,,Moderately Inaccurate,,Neither agree nor disagree,,Disagree,Neither agree nor disagree,,,Very Accurate,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Moderately Accurate,Neither Accurate Nor Inaccurate,,,,,Somewhat true for me,Very true for me,Very true for me,,
575,0,Male,Polish,White,21,4,7,57,43,No,League of legends,,,No,Very often,,,Some of time,Some of time,Half of the time,,Half of the time,,Most of the time,,Most of the time,,,Some of time,Almost never/never,,No agreement,No agreement,Agree,Agree,Often,Very often,Never,Sometimes,Never,Rarely,Never,Never,Sometimes,Never,Sometimes,Often,Never,Never,Rarely,Rarely,Sometimes,Rarely,Often,Very often,Not at all,Not at all,Not at all,,,Not at all,,3,,3,,3,,5       Very much,3,,,,4,3,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,,Very Accurate,,Moderately Inaccurate,,Moderately Inaccurate,Agree,,Disagree,Agree,,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Very Accurate,Neither Accurate Nor Inaccurate,,,,,,Neither Accurate Nor Inaccurate,Very true for me,Very true for me,,,Very true for me,
285,0,Male,British,White,20,10,6,60,40,Yes,,League Of Legends,Master,No,Sometimes,Most of the time,,,Most of the time,Most of the time,,,Half of the time,Most of the time,Most of the time,,,,Most of the time,,Some of time,Agree,Agree,Agree,Agree,Often,Often,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Often,Never,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Often,Sometimes,Never,A lot,,,A lot,,A lot,A lot,3,,4,,3,,3,3,,3,,2,,Moderately Inaccurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,,,,,Agree,Neither agree nor disagree,Agree,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,,Very Inaccurate,,,Moderately Accurate,,Somewhat false for me,Somewhat true for me,,Somewhat true for me,,
326,0,Male,Estonian,Caucasian,21,4,1,70,30,No,first-person shooters,,,No,Sometimes,,,Half of the time,Half of the time,Most of the time,,,Most of the time,Half of the time,Some of time,,,,Most of the time,,Half of the time,No agreement,No agreement,No agreement,No agreement,Often,Rarely,Never,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Somewhat,Not at all,,,Somewhat,Somewhat,,2,,,,4,,,3,3,4,3,3,,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,Neither agree nor disagree,,Strongly disagree,Disagree,,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,Moderately Accurate,,,,Moderately Inaccurate,,,Moderately Inaccurate,,Very true for me,Very true for me,,Very true for me,
645,0,Male,Polish,White,19,6,2,100,0,No,Leauge Of Legends,,,No,Very often,,Half of the time,,Half of the time,Some of time,Some of time,,,Most of the time,Most of the time,,,Half of the time,Some of time,,,No agreement,No agreement,No agreement,No agreement,Often,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Never,Sometimes,Somewhat,,,Somewhat,Somewhat,Somewhat,,3,,,4,3,2,,3,,,,2,2,Moderately Inaccurate,,,Moderately Inaccurate,Moderately Inaccurate,,Moderately Inaccurate,,,Neither Accurate Nor Inaccurate,Moderately Inaccurate,,Agree,,Agree,Agree,,,,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,Moderately Accurate,,,Neither Accurate Nor Inaccurate,,Very true for me,,Very true for me,Very true for me,
952,0,Male,Hungarian,European / White,19,6,24,50,50,Yes,,Formerly CS:GO, League of Legends,CS:GO - Gold Nova 2 , LoL - Gold III,No,Very often,Half of the time,,,Most of the time,Almost always/always,,,Almost always/always,Half of the time,Almost always/always,,,Most of the time,Almost always/always,,,No agreement,Agree,No agreement,Agree,Often,Sometimes,Rarely,Never,Sometimes,Rarely,Rarely,Never,Very often,Never,Very often,Rarely,Sometimes,Never,Rarely,Sometimes,Never,Never,Often,Sometimes,A lot,,,A lot,,A lot,A lot,5       Very much,5       Very much,,2,,5       Very much,,3,,,4,,1 Not at all,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,Very Accurate,Very Inaccurate,Moderately Inaccurate,,,,,,,Agree,Agree,,Agree,Moderately Inaccurate,,Moderately Accurate,,,Moderately Accurate,Neither Accurate Nor Inaccurate,,Moderately Accurate,,,Very true for me,Very true for me,Very true for me
1005,0,Male,Jamaican,black,21,5,7,60,40,No,League of legends,,,No,Sometimes,,,Half of the time,Most of the time,Most of the time,,Almost always/always,,Most of the time,,,Most of the time,Almost always/always,Half of the time,,,No agreement,No agreement,No agreement,Agree,Often,Often,Rarely,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,A lot,,A lot,,,A lot,Somewhat,4,,3,,4,3,,5       Very much,,,4,,2,Moderately Inaccurate,Neither Accurate Nor Inaccurate,Very Inaccurate,,Very Inaccurate,,Neither Accurate Nor Inaccurate,,,Moderately Accurate,,Agree,,,Neither agree nor disagree,,Disagree,Very Inaccurate,Neither Accurate Nor Inaccurate,Moderately Accurate,,Very Inaccurate,,,,Neither Accurate Nor Inaccurate,,Somewhat true for me,Somewhat true for me,,Somewhat true for me,,
701,,Male,Portuguese,White,24,4,2,80,20,Yes,,Apex Legends,Gold,Yes,Very often,,Some of time,,Some of time,Half of the time,,,Half of the time,Half of the time,Some of time,,,Most of the time,Most of the time,,,No agreement,No agreement,No agreement,Agree,Often,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,A lot,Not at all,,,A lot,A lot,,3,,,,,3,,3,4,1 Not at all,5       Very much,1 Not at all,,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,,Very Inaccurate,,Neither Accurate Nor Inaccurate,,,Very Accurate,,,,,Agree,Disagree,Neither agree nor disagree,,,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,Very true for me,Somewhat true for me,,Very true for me,
705,0,Male,greek,greek,23,3,10,90,10,No,Counter Strike Global Offensive,,,No,Often,Some of time,,,Some of time,Some of time,Some of time,,,Most of the time,,Most of the time,,Some of time,Some of time,,,No agreement,Agree,No agreement,Agree,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Never,Rarely,Never,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,A lot,Somewhat,,A lot,A lot,,,4,2,3,,,,2,4,,,,3,2,Moderately Inaccurate,,Moderately Inaccurate,,Very Inaccurate,Very Inaccurate,Very Accurate,Very Inaccurate,,,,Neither agree nor disagree,,Agree,Agree,,,,,Very Accurate,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Inaccurate,,Moderately Inaccurate,,Very true for me,Very true for me,Very true for me,,,
762,75,Male,Poland,Polish,21,6,10,90,10,Yes,,Overwatch,Master,No,Sometimes,,Most of the time,,Almost always/always,Most of the time,,,Most of the time,Most of the time,,,Some of time,,Almost always/always,Almost never/never,,Agree,Strongly Agree,No agreement,Strongly Agree,Often,Rarely,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Never,Rarely,Never,Rarely,Rarely,Never,Rarely,Never,Rarely,Sometimes,Sometimes,A lot,,A lot,A lot,,A lot,,3,,5       Very much,,3,,,2,,3,,3,4,Moderately Inaccurate,Very Inaccurate,,,Very Accurate,,Neither Accurate Nor Inaccurate,,,Moderately Accurate,Moderately Accurate,,,Disagree,Agree,,Agree,Moderately Inaccurate,,Very Accurate,Neither Accurate Nor Inaccurate,,,Neither Accurate Nor Inaccurate,,,Very Inaccurate,,Somewhat true for me,Somewhat true for me,Very true for me,,
1063,0,Male,Hungarian,white,23,6,3,100,0,No,league of legends,,,Yes,Very often,,,Some of time,Almost always/always,Some of time,Some of time,,,Almost always/always,,Almost always/always,,,Most of the time,,Most of the time,Agree,No agreement,Strongly Agree,Strongly Agree,Often,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Never,Never,Very often,Very often,Very often,Very often,Very often,Sometimes,Sometimes,Very often,Very often,Rarely,Very often,Somewhat,Somewhat,,Somewhat,,Somewhat,,1 Not at all,,,,,1 Not at all,,1 Not at all,5       Very much,4,,5       Very much,4,Moderately Inaccurate,,,Very Accurate,Very Accurate,,Very Accurate,Neither Accurate Nor Inaccurate,,Very Inaccurate,,,,,Agree,Disagree,Neither agree nor disagree,,,Moderately Inaccurate,,,,Moderately Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Somewhat true for me,Somewhat false for me,,,Very true for me,
363,0,Male,Spanish,Vaguely mixed,29,3,0,21,79,Yes,,Tekken,"Purple Ranks. Basically one tier below the best, but I haven't trained seriously.",No,Never,,,Almost never/never,Almost never/never,Most of the time,,,Almost never/never,Almost always/always,,,Almost always/always,,Almost always/always,,Almost never/never,Agree,No agreement,Agree,Agree,Often,Sometimes,Never,Sometimes,Never,Never,Often,Sometimes,Sometimes,Often,Never,Often,Often,Sometimes,Rarely,Never,Never,Never,Rarely,Never,Not at all,,Not at all,Not at all,Not at all,,,5       Very much,,,1 Not at all,,3,1 Not at all,5       Very much,2,2,,,,Moderately Inaccurate,,Very Accurate,,Moderately Accurate,,Moderately Inaccurate,,,Moderately Accurate,Very Inaccurate,,,,Strongly disagree,Strongly agree,Strongly agree,,,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,,,Very Accurate,Moderately Accurate,,,Somewhat true for me,Very true for me,Very true for me,,
783,0,Male,Greek,White,30,5,4,40,60,No,Moba,,,No,Never,,Some of time,,Half of the time,Most of the time,Most of the time,,,Almost always/always,,Most of the time,,Half of the time,Most of the time,,,Agree,No agreement,No agreement,Agree,Often,Rarely,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Often,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Somewhat,,Somewhat,,,Somewhat,Somewhat,4,,,,2,4,4,4,3,,,2,,Moderately Inaccurate,,,Very Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,,,Moderately Inaccurate,,,Disagree,,Disagree,Agree,,,Moderately Inaccurate,Moderately Accurate,Neither Accurate Nor Inaccurate,,,Moderately Inaccurate,Moderately Inaccurate,,,,Very true for me,Somewhat true for me,Very true for me,,
1193,,Male,Norwegian,Norwegian/Romanian,20,4,1,60,40,Yes,,Rocket League,Grand Champion 1,No,Sometimes,,Almost never/never,,Most of the time,Some of time,,,Some of time,Most of the time,,,Almost never/never,Half of the time,Some of time,,,No agreement,No agreement,Strongly Agree,Strongly Agree,Often,Sometimes,Never,Never,Never,Never,Rarely,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Never,Never,Rarely,Never,Never,Rarely,Rarely,Somewhat,Not at all,Not at all,,,Not at all,,2,3,,4,3,,,2,3,,,,1 Not at all,Moderately Inaccurate,Very Accurate,,,Moderately Accurate,,Very Inaccurate,,,Moderately Inaccurate,Very Inaccurate,,,Strongly disagree,Agree,,Agree,Very Accurate,,Very Accurate,Moderately Accurate,,Moderately Inaccurate,,,,Very Inaccurate,Very true for me,Somewhat true for me,,,Somewhat true for me,
1075,0,Male,Portuguese,White,20,8,4,80,20,Yes,,League of legends,Platinum,No,Often,,,Most of the time,Most of the time,Almost always/always,,Almost always/always,,Some of time,Some of time,,,Most of the time,Almost always/always,,,Agree,No agreement,Agree,No agreement,Often,Rarely,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Somewhat,Not at all,,,,Somewhat,Somewhat,4,,,4,3,3,2,4,,,,3,,Moderately Inaccurate,Moderately Accurate,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Moderately Accurate,,,,Moderately Inaccurate,Neither agree nor disagree,Strongly agree,,Strongly agree,,,,Moderately Accurate,Neither Accurate Nor Inaccurate,,,,Neither Accurate Nor Inaccurate,Neither Accurate Nor Inaccurate,,Neither Accurate Nor Inaccurate,Very true for me,Very true for me,,,Very true for me,
635,0,Male,Italian,Caucasian,26,5,2,70,30,Yes,,Moba and Grand Strategy,Legend,No,Very often,,Most of the time,,Most of the time,Half of the time,,,Half of the time,Most of the time,,Half of the time,,,Half of the time,,Half of the time,Strongly Agree,Agree,No agreement,Agree,Often,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat,,Somewhat,Somewhat,Not at all,,,4,,,,2,4,,3,3,,,1 Not at all,2,Moderately Inaccurate,,Moderately Inaccurate,,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,,,,Moderately Accurate,Agree,,Agree,Strongly agree,,,,Moderately Inaccurate,Moderately Accurate,,Very Inaccurate,Moderately Accurate,,,Moderately Accurate,,Very true for me,Very true for me,,,Somewhat true for me,
341,0,Female,Hungarian,Hungarian,23,6,4,86,14,Yes,,League of Legends,Silver,No,Very often,,Most of the time,,Almost always/always,Almost always/always,,,Almost always/always,Some of time,,,Some of time,,Half of the time,Some of time,,Agree,No agreement,Agree,Agree,Often,Rarely,Rarely,Never,Rarely,Never,Never,Never,Very often,Never,Sometimes,Sometimes,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Often,Not at all,Not at all,Not at all,,Not at all,,,2,,2,1 Not at all,,,,2,4,,,3,1 Not at all,Moderately Inaccurate,,,Moderately Accurate,Moderately Accurate,Very Accurate,Very Inaccurate,Very Inaccurate,,,,,,Disagree,Strongly agree,,Disagree,Very Accurate,,Very Accurate,,,,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,,,Somewhat false for me,Somewhat false for me,,Somewhat true for me,
564,0,Male,Polish,white,22,3,5,90,10,No,"LoL, CSGO",,,No,Very often,Half of the time,,,Almost always/always,Almost always/always,,Almost always/always,,Almost always/always,Almost always/always,,,,Most of the time,Most of the time,,No agreement,No agreement,No agreement,No agreement,Often,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Often,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Never,Rarely,Never,Rarely,Sometimes,Somewhat,Somewhat,,,,Somewhat,Somewhat,4,3,5       Very much,,,,,2,,,4,3,2,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,,Moderately Accurate,,Moderately Inaccurate,,Neither Accurate Nor Inaccurate,,,,,Strongly disagree,Neither agree nor disagree,,Neither agree nor disagree,Neither Accurate Nor Inaccurate,,Moderately Accurate,,Moderately Inaccurate,,Very Inaccurate,,,Moderately Inaccurate,Very true for me,Very true for me,Somewhat true for me,,,
